"country","rank2022","gpi2022","rank2021","gpi2021"
"Iceland",1,1.107,1,1.1
"New Zealand",2,1.269,2,1.253
"Ireland",3,1.288,8,1.326
"Denmark",4,1.296,3,1.256
"Austria",5,1.3,6,1.317
"Portugal",6,1.301,4,1.267
"Slovenia",7,1.316,5,1.315
"Czech Republic",8,1.318,9,1.329
"Singapore",9,1.326,11,1.347
"Japan",10,1.336,12,1.373
"Switzerland",11,1.357,7,1.323
"Canada",12,1.389,10,1.33
"Hungary",13,1.411,19,1.494
"Finland",14,1.439,13,1.402
"Croatia",15,1.44,17,1.48
"Germany",16,1.462,18,1.48
"Norway",17,1.465,14,1.438
"Malaysia",18,1.471,23,1.515
"Bhutan",19,1.481,22,1.51
"Slovakia",20,1.499,26,1.557
"Netherlands",21,1.522,21,1.506
"Belgium",22,1.526,20,1.496
"Qatar",23,1.533,29,1.605
"Bulgaria",24,1.541,27,1.577
"Poland",25,1.552,24,1.524
"Sweden",26,1.564,15,1.46
"Australia",27,1.565,16,1.47
"Mauritius",28,1.57,28,1.592
"Spain",29,1.603,31,1.621
"Taiwan",30,1.618,34,1.662
"Romania",31,1.64,25,1.53
"Italy",32,1.643,32,1.652
"Estonia",33,1.662,30,1.612
"United Kingdom",34,1.667,33,1.658
"Latvia",35,1.673,35,1.686
"North Macedonia",36,1.704,40,1.744
"Lithuania",37,1.724,37,1.689
"Costa Rica",38,1.732,39,1.735
"Kuwait",39,1.739,36,1.688
"Ghana",40,1.759,38,1.715
"Albania",41,1.761,48,1.824
"Mongolia",42,1.775,42,1.783
"South Korea",43,1.779,57,1.877
"Vietnam",44,1.786,50,1.835
"Gambia",45,1.792,53,1.853
"Uruguay",46,1.795,47,1.817
"Indonesia",47,1.8,43,1.783
"Botswana",48,1.801,41,1.753
"Montenegro",49,1.801,51,1.847
"Sierra Leone",50,1.803,46,1.813
"Laos",51,1.809,45,1.809
"Serbia",52,1.832,44,1.797
"Greece",53,1.838,66,1.932
"Timor-Leste",54,1.839,56,1.873
"Chile",55,1.84,49,1.831
"Zambia",56,1.841,71,1.964
"Jordan",57,1.849,63,1.916
"Bosnia and Herzegovina",58,1.85,72,1.97
"Equatorial Guinea",59,1.863,62,1.915
"United Arab Emirates",60,1.865,52,1.848
"Panama",61,1.876,64,1.919
"Moldova",62,1.882,59,1.909
"Cambodia",63,1.882,78,2.008
"Oman",64,1.889,73,1.982
"France",65,1.895,55,1.868
"Malawi",66,1.895,60,1.909
"Cyprus",67,1.903,61,1.912
"Namibia",68,1.908,65,1.927
"Argentina",69,1.911,68,1.945
"Senegal",70,1.916,54,1.864
"Rwanda",72,1.945,83,2.028
"Nepal",73,1.947,85,2.033
"Morocco",74,1.969,79,2.015
"Liberia",75,1.973,76,1.998
"Gabon",76,1.973,92,2.074
"Paraguay",77,1.976,75,1.997
"Angola",78,1.982,81,2.017
"Ecuador",79,1.988,87,2.044
"Bolivia",80,1.989,104,2.14
"Jamaica",81,1.99,74,1.992
"Dominican Republic",82,1.99,82,2.024
"Armenia",83,1.992,93,2.075
"Madagascar",84,1.995,70,1.963
"Tunisia",85,1.996,97,2.108
"Tanzania",86,2.001,58,1.892
"Uzbekistan",87,2.001,89,2.062
"Trinidad and Tobago",88,2.005,84,2.029
"China",89,2.01,99,2.114
"Sri Lanka",90,2.02,94,2.083
"Kyrgyzstan",91,2.028,77,1.998
"Tajikistan",92,2.031,96,2.095
"Eswatini",93,2.033,69,1.955
"Papua New Guinea",94,2.046,106,2.149
"Georgia",95,2.065,88,2.054
"Bangladesh",96,2.067,90,2.068
"Kazakhstan",97,2.071,67,1.936
"Cuba",98,2.083,86,2.042
"Bahrain",99,2.085,101,2.121
"Lesotho",100,2.089,111,2.202
"Peru",101,2.091,163,2.034
"Togo",102,2.094,114,2.239
"Thailand",103,2.098,112,2.205
"Turkmenistan",104,2.116,108,2.154
"Benin",105,2.125,95,2.093
"Guatemala",106,2.139,110,2.195
"Guyana",107,2.14,100,2.114
"Ivory Coast",108,2.144,102,2.123
"Algeria",109,2.146,119,2.31
"Guinea-Bissau",110,2.156,98,2.113
"Republic of the Congo",111,2.184,118,2.291
"Mauritania",112,2.193,117,2.29
"Djibouti",113,2.213,105,2.146
"El Salvador",114,2.231,109,2.184
"Haiti",115,2.254,107,2.151
"Belarus",116,2.259,116,2.285
"Honduras",117,2.269,123,2.371
"South Africa",118,2.283,122,2.344
"Saudi Arabia",119,2.288,124,2.376
"Kenya",120,2.303,115,2.254
"Uganda",121,2.309,113,2.219
"Mozambique",122,2.316,103,2.123
"Guinea",123,2.332,91,2.069
"Nicaragua",124,2.334,129,2.445
"Philippines",125,2.339,126,2.417
"Egypt",126,2.342,125,2.397
"Zimbabwe",127,2.35,132,2.49
"Azerbaijan",128,2.437,120,2.334
"United States",129,2.44,121,2.337
"Brazil",130,2.465,127,2.43
"Burundi",131,2.47,128,2.434
"Eritrea",132,2.494,135,2.555
"Palestine",133,2.552,137,2.61
"Israel",134,2.576,142,2.669
"India",135,2.578,134,2.553
"Chad",136,2.591,131,2.489
"Mexico",137,2.612,139,2.62
"Lebanon",138,2.615,146,2.797
"Myanmar",139,2.631,130,2.457
"Niger",140,2.655,136,2.589
"Iran",141,2.687,140,2.637
"Cameroon",142,2.709,144,2.7
"Nigeria",143,2.725,145,2.712
"Colombia",144,2.729,143,2.694
"Turkey",145,2.785,148,2.843
"Burkina Faso",146,2.786,133,2.527
"Pakistan",147,2.789,149,2.868
"Venezuela",148,2.798,151,2.934
"Ethiopia",149,2.806,138,2.613
"Mali",150,2.911,147,2.813
"Libya",151,2.93,155,3.166
"North Korea",152,2.942,150,2.923
"Ukraine",153,2.971,141,2.66
"Sudan",154,3.007,152,2.936
"Central African Republic",155,3.021,154,3.131
"Somalia",156,3.125,157,3.211
"Iraq",157,3.157,158,3.257
"DR Congo",158,3.166,156,3.196
"South Sudan",159,3.184,159,3.363
"Russia",160,3.275,153,2.993
"Syria",161,3.356,160,3.371
"Yemen",162,3.394,161,3.407
"Afghanistan",163,3.554,162,3.631