"country","gini","pop2023"
"South Africa",63,60414495
"Namibia",59.1,2604172
"Suriname",57.9,623236
"Zambia",57.1,20569737
"Sao Tome and Principe",56.3,231856
"Central African Republic",56.2,5742315
"Eswatini",54.6,1210822
"Mozambique",54,33897354
"Brazil",53.4,216422446
"Botswana",53.3,2675352
"Belize",53.3,410825
"Colombia",51.3,52085168
"Angola",51.3,36684202
"Guinea-Bissau",50.7,2150842
"Zimbabwe",50.3,16665409
"Panama",49.8,4468087
"Republic of the Congo",48.9,6106869
"Guatemala",48.3,18092026
"Honduras",48.2,10593798
"Costa Rica",48.2,5212173
"Benin",47.8,13712828
"Cameroon",46.6,28647293
"Nicaragua",46.2,7046310
"Ecuador",45.7,18190484
"Paraguay",45.7,6861524
"Jamaica",45.5,2825544
"Mexico",45.4,128455567
"Comoros",45.3,852075
"Guyana",45.1,813834
"Lesotho",44.9,2330318
"Venezuela",44.8,28838499
"Malawi",44.7,20931751
"Chile",44.4,19629590
"South Sudan",44.1,11088796
"Rwanda",43.7,14094683
"Ghana",43.5,34121985
"Chad",43.3,18278568
"Togo",43.1,9053799
"Argentina",42.9,45773884
"Uganda",42.8,48582334
"Madagascar",42.6,30325732
"Philippines",42.3,117337368
"DR Congo",42.1,102262808
"Iran",42,89172767
"Turkey",41.9,85816199
"Dominican Republic",41.9,11332972
"Papua New Guinea",41.9,10329931
"Bolivia",41.6,12388571
"Djibouti",41.6,1136455
"Peru",41.5,34352719
"Ivory Coast",41.5,28873034
"United States",41.4,339996563
"Bulgaria",41.3,6687717
"Malaysia",41.1,34308525
"Haiti",41.1,11724763
"Kenya",40.8,55100586
"Turkmenistan",40.8,6516100
"Tanzania",40.5,67438106
"Senegal",40.3,17763163
"Trinidad and Tobago",40.3,1534937
"Micronesia",40.1,115224
"Uruguay",39.7,3423108
"Morocco",39.5,37840044
"Sri Lanka",39.3,21893579
"Tuvalu",39.1,11396
"Israel",39,9174520
"Laos",38.8,7633779
"El Salvador",38.8,6364943
"Samoa",38.7,225681
"Burundi",38.6,13238559
"China",38.5,1425671352
"Montenegro",38.5,626485
"Indonesia",38.2,277534122
"Gabon",38,2436566
"Vanuatu",37.6,334506
"Tonga",37.6,107773
"Russia",37.5,144444359
"Syria",37.5,23227014
"Bhutan",37.4,787424
"Solomon Islands",37.1,740424
"Kiribati",37,133515
"Somalia",36.8,18143378
"Mauritius",36.8,1300557
"Yemen",36.7,34449825
"Fiji",36.7,936375
"Serbia",36.2,7149077
"Italy",35.9,58870762
"Georgia",35.9,3728282
"Gambia",35.9,2773168
"Romania",35.8,19892812
"India",35.7,1428627663
"Vietnam",35.7,98858950
"Sierra Leone",35.7,8791092
"Lithuania",35.7,2718352
"Luxembourg",35.4,654768
"Uzbekistan",35.3,35163944
"Burkina Faso",35.3,23251485
"Liberia",35.3,5418377
"Nigeria",35.1,223804632
"United Kingdom",35.1,67736802
"Latvia",35.1,1830211
"Ethiopia",35,126527060
"Thailand",34.9,71801279
"Nauru",34.8,12780
"Spain",34.7,47519628
"Australia",34.4,26439111
"Niger",34.3,27202843
"Sudan",34.2,48109006
"Tajikistan",34,10143543
"Guinea",33.7,14190612
"Jordan",33.7,11337052
"Palestine",33.7,5371230
"Portugal",33.5,10247605
"Canada",33.3,38781291
"Albania",33.2,2832439
"Switzerland",33.1,8796669
"Mali",33,23293698
"Bosnia and Herzegovina",33,3210847
"North Macedonia",33,2085679
"Japan",32.9,123294513
"Greece",32.9,10341277
"Nepal",32.8,30896590
"Tunisia",32.8,12458223
"Mongolia",32.7,3447157
"Cyprus",32.7,1260138
"Mauritania",32.6,4862989
"Bangladesh",32.4,172954319
"France",32.4,64756584
"Seychelles",32.1,107660
"Germany",31.9,83294633
"Lebanon",31.8,5353930
"Pakistan",31.6,240485658
"Egypt",31.5,112716598
"South Korea",31.4,51784059
"Ireland",31.4,5056935
"Maldives",31.3,521020.99999999994
"Austria",30.8,8958960
"Myanmar",30.7,54577997
"Estonia",30.3,1322765
"Poland",30.2,41026067
"Sweden",30,10612086
"Armenia",29.9,2777970
"Kyrgyzstan",29.7,6735347
"Croatia",29.7,4008617
"Hungary",29.6,10156239
"Iraq",29.5,45504560
"Timor-Leste",28.7,1360596
"Malta",28.7,535064
"Denmark",28.2,5910913
"Netherlands",28.1,17618299
"Kazakhstan",27.8,19606633
"Algeria",27.6,45606480
"Norway",27.6,5474360
"Finland",27.3,5545475
"Belgium",27.2,11686140
"Ukraine",26.6,36744634
"Azerbaijan",26.6,10412651
"Iceland",26.1,375318
"United Arab Emirates",26,9516871
"Moldova",25.7,3435931
"Belarus",25.3,9498238
"Czech Republic",25,10495295
"Slovenia",24.6,2119675